j1,j2,j3,j4,Eigenvalue1,Eigenvalue2,e3,e4,First Eigenvector Comp 1,First Eigenvector Comp 2,concur_fin
-1.0,0.0,-0.4,0.5,-0.78589,0.08589,0.78301,-0.08301,-0.9792,0.2029,0.15043696358339806
-1.0,0.0,-0.4,0.6,-0.78589,0.08589,0.86962,-0.16962,-0.9792,0.2029,0.1585331086999214
-1.0,0.0,-0.4,0.7,-0.78589,0.08589,0.95622,-0.25622,-0.9792,0.2029,0.17034208844357868
-1.0,0.0,-0.4,0.8,-0.78589,0.08589,1.04282,-0.34282,-0.9792,0.2029,0.18739826798909184
-1.0,0.0,-0.4,0.9,-0.78589,0.08589,1.12942,-0.42942,-0.9792,0.2029,0.21144874961778456
-1.0,0.0,-0.3,-1.0,-0.76941,0.11941,-0.54103,1.19103,-0.98902,0.14778,0.23662300168074907
-1.0,0.0,-0.3,-0.9,-0.76941,0.11941,-0.45442,1.10442,-0.98902,0.14778,0.19699829316317938
-1.0,0.0,-0.3,-0.8,-0.76941,0.11941,-0.36782,1.01782,-0.98902,0.14778,0.1671215847174121
-1.0,0.0,-0.3,-0.7,-0.76941,0.11941,-0.28122,0.93122,-0.98902,0.14778,0.14557427294920083
-1.0,0.0,-0.3,-0.6,-0.76941,0.11941,-0.19462,0.84462,-0.98902,0.14778,0.13049404760924074
-1.0,0.0,-0.3,-0.5,-0.76941,0.11941,-0.10801,0.75801,-0.98902,0.14778,0.12010401450699768
-1.0,0.0,-0.3,-0.4,-0.76941,0.11941,-0.02141,0.67141,-0.98902,0.14778,0.11293826586713235
-1.0,0.0,-0.3,-0.3,-0.76941,0.11941,0.06519,0.58481,-0.98902,0.14778,0.10786055816658735
-1.0,0.0,-0.3,-0.2,-0.76941,0.11941,0.15179,0.49821,-0.98902,0.14778,0.10400551594114008
-1.0,0.0,-0.3,-0.1,-0.76941,0.11941,0.2384,0.4116,-0.98902,0.14778,0.1006839122899417
-1.0,0.0,-0.3,-0.0,-0.76941,0.11941,0.325,0.325,-0.98902,0.14778,0.09728644497163524
-1.0,0.0,-0.3,0.1,-0.76941,0.11941,0.4116,0.2384,-0.98902,0.14778,0.1006839122899417
-1.0,0.0,-0.3,0.2,-0.76941,0.11941,0.49821,0.15179,-0.98902,0.14778,0.10400551594114002
-1.0,0.0,-0.3,0.3,-0.76941,0.11941,0.58481,0.06519,-0.98902,0.14778,0.10786055816658732
-1.0,0.0,-0.3,0.4,-0.76941,0.11941,0.67141,-0.02141,-0.98902,0.14778,0.11293826586713235
-1.0,0.0,-0.3,0.5,-0.76941,0.11941,0.75801,-0.10801,-0.98902,0.14778,0.12010401450699768
-1.0,0.0,-0.3,0.6,-0.76941,0.11941,0.84462,-0.19462,-0.98902,0.14778,0.13049404760924074
-1.0,0.0,-0.3,0.7,-0.76941,0.11941,0.93122,-0.28122,-0.98902,0.14778,0.14557427294920086
