j1, j4, j2, j3, Eigenvalue1, Eigenvalue2, e3, e4, First Eigenvector Comp 1, First Eigenvector Comp 2
1.00000, 0.00000, -0.30000, -0.40000, -0.60139, 0.75139, -0.07500, -0.07500, 0.03203, -0.99949
1.00000, 0.00000, -0.30000, -0.30000, -0.55000, 0.75000, -0.10000, -0.10000, 0.00000, -1.00000
1.00000, 0.00000, -0.30000, -0.20000, -0.50150, 0.75150, -0.12500, -0.12500, -0.03458, -0.99940
1.00000, 0.00000, -0.30000, -0.10000, -0.45622, 0.75622, -0.15000, -0.15000, -0.07161, -0.99743
1.00000, 0.00000, -0.30000, -0.00000, -0.41449, 0.76449, -0.17500, -0.17500, -0.11087, -0.99384
1.00000, 0.00000, -0.30000, 0.10000, -0.37663, 0.77663, -0.20000, -0.20000, -0.15195, -0.98839
1.00000, 0.00000, -0.30000, 0.20000, -0.34289, 0.79289, -0.22500, -0.22500, -0.19433, -0.98094
1.00000, 0.00000, -0.30000, 0.30000, -0.31347, 0.81347, -0.25000, -0.25000, -0.23732, -0.97143
1.00000, 0.00000, -0.30000, 0.40000, -0.28847, 0.83847, -0.27500, -0.27500, -0.28019, -0.95994
1.00000, 0.00000, -0.30000, 0.50000, -0.26789, 0.86789, -0.30000, -0.30000, -0.32218, -0.94668
1.00000, 0.00000, -0.30000, 0.60000, -0.25163, 0.90163, -0.32500, -0.32500, -0.36260, -0.93195
1.00000, 0.00000, -0.30000, 0.70000, -0.23949, 0.93949, -0.35000, -0.35000, -0.40090, -0.91612
1.00000, 0.00000, -0.30000, 0.80000, -0.23122, 0.98122, -0.37500, -0.37500, -0.43670, -0.89961
1.00000, 0.00000, -0.30000, 0.90000, -0.22650, 1.02650, -0.40000, -0.40000, -0.46975, -0.88280
1.00000, 0.00000, -0.20000, -1.00000, -0.92178, 0.82178, 0.05000, 0.05000, -0.20290, 0.97920
1.00000, 0.00000, -0.20000, -0.90000, -0.85717, 0.80717, 0.02500, 0.02500, -0.18533, 0.98268
1.00000, 0.00000, -0.20000, -0.80000, -0.79373, 0.79373, 0.00000, 0.00000, -0.16597, 0.98613
1.00000, 0.00000, -0.20000, -0.70000, -0.73164, 0.78164, -0.02500, -0.02500, 0.14459, -0.98949
1.00000, 0.00000, -0.20000, -0.60000, -0.67111, 0.77111, -0.05000, -0.05000, 0.12098, -0.99265
1.00000, 0.00000, -0.20000, -0.50000, -0.61239, 0.76239, -0.07500, -0.07500, 0.09492, -0.99548
